"page","id","name","description","availability","abv","ibu","brewer_id","brewer_name","style_id","style_name","category_id","category_name","srm_id","srm_color"
"1","xBKAka","""Galactic Wrath"" IPA","In August 2012, for the First Year Anniversary at our Tap Room and Restaurant, we decided to take two of our favorite Dust Bowl beers…Galaxy Pale Ale and Son of Wrath Double IPA…and formulate a new IPA recipe using elements from both beers. The result was a delicious, bold IPA with the fruity, citrus character and malt backbone of Son of Wrath, as well as the tropical aroma and easy drinkability of Galaxy Pale. It was so popular with our fans, we decided to brew more.","Limited",7.5,75,"Xnf2WT","Dust Bowl Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","5UcMBc","""Ignition"" IPA","This medium amber beer is infused with a blend of 2-row malted barley and caramel malts. Its balance acquired by using a combination of Pacific Northwest hops for bitterness and aroma.","Year Round",6.6,45,"H8jawh","Working Man Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","ETaM11","""Roux 40"" Red IPA",NA,NA,6.7,50,"X38nDm","Three Notch'd Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","8f8vqK","""Sniff"" IPA",NA,NA,6,50,"FfMi8U","Little Machine Beer",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","EliWWJ","#15","White IPA w/ Orange Peel, Coriander, Peaches, & Apricot.",NA,6.7,NA,"BiNSTd","Four Fathers Brewing, LLC",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","6VZsVo","#429 Red IPA","Citrus and dark fruit characters come through in this well-balanced red ale, which features a caramel malt background to complement its slight bitterness.","Limited",7.1,NA,"VoKbnS","Victory Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","uSAFK1","#Adulting","5th anniversary Guava IPA with citra, cascade, and warrior hops.",NA,6.8,65,"PdSE1h","Evil Genius Beer Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","QWkRz9","#Hashtag Hops IPA","One of our four flagship beers. Clean, dry and aromatic!","Year Round",7,71,"nE0YCy","Ohana Brewing Co",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","Tx1Y4D","#NOFILTER IPA","Juicy New England style IPA dry hopped with a massive amount of citra and mosaic hops.",NA,7,NA,"UBBbRq","Thomas Hooker Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","Ek2uj8","$600 Lizard Shoes","It’s all about Stylin’ and Profilin’. We’re talking about the Rolex wearin’, kiss stealin’, wheelin’ dealin’, limousine ridin’, jet flyin’ son of a gun. “You’ve got to make the assault on life itself! WOOOOO!”",NA,6.9,74,"iodDki","Three Floyds Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","Dk2xuM","'37 Flood",NA,NA,6.6,66,"yUTidu","Dry Ground Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","ky8Q1O","'Bout Damn Time","A big American IPA with the hop-head in mind. Loaded with Pacific Northwest hops from the kettle to the fermenter, this IPA packs a massive aroma of bright tropical fruit and refreshing citrus notes. The simplicity of the malt bill allows for a plethora of hop flavors to come through on the pallet, making for an absolutely crushable IPA.",NA,7.1,68,"Ucc6jp","4 Noses Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
