"page","id","name","description","availability","abv","ibu","brewer_id","brewer_name","style_id","style_name","category_id","category_name","srm_id","srm_color"
"1","cBLTUw","""18"" Imperial IPA 2","Hop Heads this one's for you!  Checking in with 143 IBU's this ale punches you in the mouth with extreme bitterness then rounds out with toffee flavors and finishes with a citrus aroma.  Made with tons of US 2 Row Barley to get this to ABV 11.1%.",NA,11.1,NA,"qa1QZU","Ship Bottom Brewery",43,"American Imperial Stout",3,"North American Origin Ales",33,"#520907"
"1","ZsQEJt","""633"" American Pale Ale","Our first beer has been aptly named ""633"" after the Regions telephone exchange for starters.  ""If I could call a beer home, this would be the one."" ~ Win

It is a mildly hoppy pale ale using a 2 row, vienna, and munich malts for body,color, and head retention. It is hopped with American west coast hops later in the boil giving it a nice citrus hop flavor and very mild aroma. Slight addition of a roasted caramel malt gives ""633"" it's signature 'sunset over the harbor glow'.","Year Round",6.33,25,"DBkLHq","Boothbay Craft Brewery, Inc",25,"American Pale",3,"North American Origin Ales",NA,NA
"1","tmEthz","""Admiral"" Stache","Milwaukee Brewing Co’s take on a classic European style. Baltic Porters are the stronger lager fermented cousin of the classic London Porter. The higher strength and cold fermentation help to create a smooth, less fruity porter, rich in roasted malt flavors and aromas. The “Admiral” Stache has a deep brown hue with a light caramel head. Toffee and milk chocolate dominate the flavor with subtle hints of dried fruit. One month of aging in Bourbon Barrels imparted a layer of vanilla and oak.

We first developed this beer in 2007. Our first attempted batch of beer at the 2nd street location was a Baltic Porter. What we ended up with became known as “Shake Down Nut Brown”. You can guess what went wrong from there… But, so many things right! Every year that has gone by, the beer has gotten a little bit stronger, in flavor and alcohol.

We use a black malt for the dark rich color and an extra special malt for the dried fruit flavors. Baltic Porters are fermented cold with a lager yeast. That long slow maturation creates a smooth flavor profile. The anticipation of the bourbon barrel aging it the most exciting part of this brew process. We want that oak character with hints of bourbon, we use 3rd run barrels for this result. Each batch has been slightly different from the last.","Seasonal",7,23,"BU4IJP","Milwaukee Brewing Company",104,"Baltic Porter",9,"Other Lager",37,"#3F0708"
"1","b7SfHG","""Ah Me Joy"" Porter","A robust porter style ale with a twist. This beer has moderate roastiness with a bitter finish, complemented by the sweetness of almond and coconut, which may remind you of a certain candy. Sit back with a pint and you'll say ""ah, me joy!""",NA,5.4,51,"pvE2w5","GAEL Brewing Company",19,"Robust Porter",1,"British Origin Ales",40,"#36080A"
"1","zcJMId","""Alternating Currant"" Sour","Black Currant Kettle Sour.",NA,4.8,12,"FfMi8U","Little Machine Beer",40,"Sour",3,"North American Origin Ales",NA,NA
"1","UM8GL6","""B"" Street Pineapple Blonde","""B"" Street Pineapple Blonde is the lightest beer we have on tap.  Our Pineapple Blonde is a great choice for those just being introduced to craft beer.  For those more familiar with ales, our Blonde is a full-bodied ale with a subtle savory pineapple flavor.",NA,4.6,NA,"cZDnM8","La Verne Brewing Co.",36,"Blonde",3,"North American Origin Ales",5,"#FBB123"
"1","NIaY9C","""B.B. Rodriguez"" Double Brown","Caramel. Walnut. Toast. Luxury.",NA,8.5,30,"FfMi8U","Little Machine Beer",37,"American Brown",3,"North American Origin Ales",NA,NA
"1","PBEXhV","""Bison Eye Rye"" Pale Ale | 2 of 4 Part Pale Ale Series","The second in the rotating 4-part series of pale ales explores the adventurous boundaries of balancing various hops and unique malts. This particular brew was crafted with a healthy dose of toasted rye malt and a bodacious amount of New Zealand hops. Tropical aromas of melon and pineapple are balanced with a touch of sweet honey and a refreshing snap due to the mix of bittering hops and rye. Unfiltered, adventurous and crushable.",NA,5.8,51,"mMnrjZ","Bow & Arrow Brewing Co",25,"American Pale",3,"North American Origin Ales",8,"#EA8F00"
"1","wRmmdv","""California Crude"" Black IPA","Black ale that is aggressively hopped to balance the malt character. This beer is rich and robust with the additions of black malt for a creamy finish.",NA,7.6,80,"H8jawh","Working Man Brewing Company",41,"Black Ale",3,"North American Origin Ales",NA,NA
"1","EPYNpW","""C’est Noir"" Imperial Stout","10.8% ABV 70 IBU’s A rich and creamy stout with loads of roasted barley and roasted oats infused with 70 IBU’s of hop bitterness to balance this really big beer. (SAY NOIR)",NA,10.8,70,"H8jawh","Working Man Brewing Company",16,"British Imperial Stout",1,"British Origin Ales",NA,NA
"1","AXmvOd","""Dust Up"" Cloudy Pale Ale | 1 of 4 Part Pale Ale Series","The Pale Ale series will feature 4 distinct variations within the Pale Ale category. ""Dust Up"" Cloudy Pale Ale, the first of the series, showcases caramelized wheat, an abundant amount of earthy forest hops and finishes crisp and snappy. Unfiltered, untamed, yet friendly to consume.",NA,5.4,54,"mMnrjZ","Bow & Arrow Brewing Co",25,"American Pale",3,"North American Origin Ales",11,"#D77200"
"1","c5pZg5","""EVL1"" Imperial Red Ale","10.4% ABV 64 IBU’s Born from a Robust Porter recipe, it shows it origins with coffee and roasted malt notes. A kicked-up red ale with a deep copper red color and a rich, malty sweet flavor.",NA,10.4,64,"H8jawh","Working Man Brewing Company",33,"Imperial Red",3,"North American Origin Ales",NA,NA
